symbol,type,CNY,position,date,netvalue,CNYholdings,calibration,hedge,symbol_hedge,CPER_price,CPER_ratio,GLD_price,GLD_ratio,SLV_price,SLV_ratio,USO_price,USO_ratio,^GLD-EU_price,^GLD-EU_ratio,^GLD-JP_price,^GLD-JP_ratio,^USO-EU_price,^USO-EU_ratio,^USO-HK_price,^USO-HK_ratio,^USO-JP_price,^USO-JP_ratio
SZ161129,,6.8579,0.7597,2026-04-23,1.7194,6.865,,,,,,,,,,134.72,68.171647,,,,,130.921,20.95564,131.35,8.147953,131.31,2.72476
SZ161815,,6.8579,0.917,2026-04-23,1.165,6.865,,,,,,431.04,90.02181,,,134.72,1.897492,,,,,130.921,8.080698,,,,
QQQ,,,1,2026-04-23,651.485857,,41.110064,,^NDX,,,,,,,,,,,,,,,,,,
SZ161130,,6.8579,0.95,2026-04-23,4.0923,,44928.944253,1150.414787,QQQ,,,,,,,,,,,,,,,,,,
SZ160723,,6.8579,0.7696,2026-04-23,2.0795,6.865,,,,,,,,,,134.72,44.581601,,,,,130.921,47.985967,,,131.31,7.432432
SZ160216,,6.8579,1.0123,2026-04-23,0.73,6.865,,,,36.96,8.2683,431.04,35.058777,,,134.72,56.672923,,,,,,,,,,
SPY,,,1,2026-04-23,708.473022,,10.033409,,^GSPC,,,,,,,,,,,,,,,,,,
SZ161125,,6.8579,0.95,2026-04-23,2.9654,,16456.183083,1726.461862,SPY,,,,,,,,,,,,,,,,,,
SZ164701,,6.8579,0.9916,2026-04-23,1.866,6.865,,,,,,431.04,99.919322,68.38,0.080678,,,,,,,,,,,,
SZ161127,,6.8579,0.95,2026-04-23,1.8234,,506.256308,532.901377,XBI,,,,,,,,,,,,,,,,,,
SZ161116,,6.8579,0.9349,2026-04-23,1.7601,6.865,,,,,,431.04,80.981923,,,,,434.52,19.018077,,,,,,,,
SZ162411,,6.8579,0.95,2026-04-23,0.9058,,1284.892583,1352.518508,XOP,,,,,,,,,,,,,,,,,,
SZ162415,,6.8579,0.94,2026-04-23,2.929,,275.951908,293.56586,XLY,,,,,,,,,,,,,,,,,,
SH501018,,6.8579,0.7889,2026-04-23,1.815,6.865,,,,,,,,,,134.72,38.750158,,,,,130.921,52.300672,,,131.31,8.94917
SZ160719,,6.8579,0.9734,2026-04-23,2.129,6.865,,,,,,431.04,52.064927,,,,,434.52,47.935073,,,,,,,,
SZ165513,,6.8579,0.9314,2026-04-23,1.1232,6.865,,,,,,431.04,88.834013,,,,,434.52,8.546274,432.29,2.619712,,,,,,
