日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,SPY,SPY权重,.INX,指数静态估值,指数静态估值误差,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,161125官方校准
2026-04-14,6.8593,95.0,2.894,,,,,,,100.0,,,,0.0,0.0,,,,,
2026-04-13,6.8657,95.0,2.867,2.8776,0.9326%,2.8768,-0.03%,-0.34%,686.1,100.0,6886.24,2.8793,0.06%,1636.9741346955796,1723.1306681006101,6922.75,2.8784,0.03%,-0.40%,
2026-04-10,6.8654,100,2.879,2.8502,-0.0589%,2.8512,0.04%,0.97%,679.46,100.0,6816.89,2.8499,-0.01%,1636.6446859869484,1636.6446859869484,6855.25,2.8498,-0.01%,1.03%,16420.137988
2026-04-09,6.8649,100,2.858,2.8529,0.5315%,2.8525,-0.01%,0.19%,679.91,100.0,6824.66,2.8536,0.03%,1636.0595040134597,1636.0595040134597,6863.25,2.8525,-0.01%,0.19%,16422.10025
2026-04-08,6.868,100,2.884,2.8374,2.2878%,2.841,0.13%,1.51%,676.01,100.0,6782.81,2.84,0.09%,1636.2996687107916,1636.2996687107916,6823.75,2.84,0.09%,1.55%,16417.96707
2026-04-07,6.8854,100,2.792,2.7775,0.4790%,2.778,0.02%,0.50%,659.22,100.0,6616.85,2.7812,0.13%,1634.2010397839783,1634.2010397839783,6656.75,,,,16403.1178
2026-04-03,6.8929,100,2.789,2.7665,,,,,,100.0,,,,0.0,0.0,,,,,
2026-04-02,6.888,,2.787,2.7648,,,,,655.83,,6575.32,,,0.0,0.0,,,,,16399.58335
2026-04-01,6.9025,,2.807,2.767,,,,,,,6528.52,,,0.0,0.0,,,,,16402.6545
2026-03-31,6.9194,,2.735,2.7542,,,,,,,6343.72,,,0.0,0.0,,,,,16401.6561
2026-03-30,6.9223,,2.738,2.6809,,,,,,,,,,0.0,0.0,,,,,16379.9971
2026-03-27,6.9141,,2.781,2.6883,,,,,,,6477.16,,,0.0,0.0,,,,,16380.1906
2026-03-26,6.9056,,2.79,2.7289,,,,,,,6591.9,,,0.0,0.0,,,,,16390.7353
2026-03-25,6.8911,,2.793,2.7698,,,,,,,6556.37,,,0.0,0.0,,,,,16400.2605
2026-03-24,6.8943,,2.761,2.7567,,,,,,,6581.0,,,0.0,0.0,,,,,16396.99
2026-03-23,6.9041,,2.722,2.7702,,,,,,,6506.48,,,0.0,0.0,,,,,16401.6613
2026-03-20,6.8898,,2.827,2.7355,,,,,,,6606.49,,,0.0,0.0,,,,,16387.6242
2026-03-19,6.8975,,2.833,2.7777,,,,,,,6624.7,,,0.0,0.0,,,,,16405.0352
2026-03-18,6.8909,,2.87,2.7825,,,,,,,6716.09,,,0.0,0.0,,,,,16406.1623
2026-03-17,6.8961,,2.853,2.8206,,,,,,,6699.38,,,0.0,0.0,,,,,16420.2038
