日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,QQQ,QQQ权重,.NDX,指数静态估值,指数静态估值误差,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,161130官方校准
2026-04-14,6.8593,95.0,3.928,,,,,,,100.0,,,,0.0,0.0,,,,,
2026-04-13,6.8657,95.0,3.873,3.8893,0.9867%,3.8887,-0.02%,-0.40%,617.39,100.0,25383.72,3.8919,0.07%,1089.8656629727714,1147.227013655549,25543.5,3.8908,0.04%,-0.46%,
2026-04-10,6.8654,100,3.893,3.8507,0.1515%,3.8512,0.01%,1.08%,611.07,100.0,25116.34,3.8509,0.01%,1089.4746352611216,1089.4746352611216,25281.25,3.8502,-0.01%,1.11%,44779.833318
2026-04-09,6.8649,100,3.854,3.8454,0.6310%,3.8453,-0.00%,0.23%,610.19,100.0,25082.09,3.8469,0.04%,1089.3257739116866,1089.3257739116866,25251.5,3.8465,0.03%,0.20%,44777.14038
2026-04-08,6.868,100,3.886,3.8212,2.7130%,3.8285,0.19%,1.50%,606.09,100.0,24903.17,3.8256,0.12%,1089.3504972260025,1089.3504972260025,25074.25,3.8253,0.11%,1.59%,44759.48482
2026-04-07,6.8854,100,3.739,3.7274,0.5791%,3.7275,0.00%,0.31%,588.59,100.0,24202.37,3.7327,0.14%,1087.2666164082202,1087.2666164082202,24371.0,,,,44707.57386
2026-04-03,6.8929,100,3.731,3.7083,,,,,,100.0,,,,0.0,0.0,,,,,
2026-04-02,6.888,,3.718,3.706,,,,,584.98,,24019.99,,,0.0,0.0,,,,,44691.21079
2026-04-01,6.9025,,3.769,3.709,,,,,,,23740.19,,,0.0,0.0,,,,,44701.5278
2026-03-31,6.9194,,3.658,3.6759,,,,,,,22953.38,,,0.0,0.0,,,,,44687.7939
2026-03-30,6.9223,,3.67,3.562,,,,,,,,,,0.0,0.0,,,,,44607.0089
2026-03-27,6.9141,,3.72,3.5847,,,,,,,23586.99,,,0.0,0.0,,,,,44618.0415
2026-03-26,6.9056,,3.74,3.6476,,,,,,,24162.98,,,0.0,0.0,,,,,44654.6635
2026-03-25,6.8911,,3.757,3.7251,,,,,,,24002.45,,,0.0,0.0,,,,,44699.3319
2026-03-24,6.8943,,3.723,3.7033,,,,,,,24188.59,,,0.0,0.0,,,,,44684.4907
2026-03-23,6.9041,,3.672,3.7354,,,,,,,23898.15,,,0.0,0.0,,,,,44707.5138
2026-03-20,6.8898,,3.797,3.6858,,,,,,,24355.28,,,0.0,0.0,,,,,44672.3928
2026-03-19,6.8975,,3.812,3.7564,,,,,,,24425.09,,,0.0,0.0,,,,,44721.1473
2026-03-18,6.8909,,3.874,3.7633,,,,,,,24780.42,,,0.0,0.0,,,,,44724.2793
2026-03-17,6.8961,,3.811,3.8178,,,,,,,24655.34,,,0.0,0.0,,,,,44760.921
2026-03-16,6.9057,,3.835,3.8043,,,,,,,24380.73,,,0.0,0.0,,,,,44755.2496
2026-03-13,6.9007,,3.831,,,,,,,,24533.58,,,0.0,0.0,,,,,44724.3691
2026-03-12,6.8959,,3.868,,,,,,,,24965.01,,,0.0,0.0,,,,,44739.1604
2026-03-11,6.8917,,3.884,,,,,,,,24956.47,,,0.0,0.0,,,,,44775.8837
2026-03-10,6.8982,,3.871,,,,,,,,24967.25,,,0.0,0.0,,,,,44779.4847
2026-03-09,6.9158,,3.815,,,,,,,,24643.02,,,0.0,0.0,,,,,44795.4369
2026-03-06,6.9025,,3.891,,,,,,,,25020.41,,,0.0,0.0,,,,,44754.4953
2026-03-05,6.9007,,3.895,,,,,,,,25093.68,,,0.0,0.0,,,,,44792.8114
2026-03-04,6.9124,,3.839,,,,,,,,24720.08,,,0.0,0.0,,,,,44809.4894
2026-03-03,6.9088,,3.86,,,,,,,,24992.6,,,0.0,0.0,,,,,44769.3505
2026-03-02,6.9236,,3.872,,,,,,,,24960.04,,,0.0,0.0,,,,,44806.6417
2026-02-27,6.9228,,,,,,,,,,25034.37,,,0.0,0.0,,,,,44801.0922
2026-02-26,6.9228,,,,,,,,,,25329.04,,,0.0,0.0,,,,,44812.5204
2026-02-25,6.9321,,,,,,,,,,24977.04,,,0.0,0.0,,,,,44845.4537
2026-02-24,6.9414,,,,,,,,,,24732.73,,,0.0,0.0,,,,,44816.1229
2026-02-13,6.9398,,,,,,,,,,24687.61,,,0.0,0.0,,,,,44788.9498
2026-02-12,6.9457,,,,,,,,,,25201.26,,,0.0,0.0,,,,,44793.1726
2026-02-11,6.9438,,,,,,,,,,25127.64,,,0.0,0.0,,,,,44838.8331
2026-02-10,6.9458,,,,,,,,,,25268.14,,,0.0,0.0,,,,,44833.2984
2026-02-09,6.9523,,,,,,,,,,25075.77,,,0.0,0.0,,,,,44849.6767
2026-02-06,6.959,,,,,,,,,,24548.69,,,0.0,0.0,,,,,44838.4551
2026-02-05,6.957,,,,,,,,,,24891.24,,,0.0,0.0,,,,,44779.6842
