symbol,type,netvalue,CNYholdings,CNY,position,calibration,hedge,symbol_hedge,hedge_ETF,GLD_ratio,GLD_price,GLD-EU_ratio,GLD-EU_price,SLV_ratio,SLV_price,GLD-JP_ratio,GLD-JP_price,USO-EU_ratio,USO-EU_price,USO_ratio,USO_price,USO-JP_ratio,USO-JP_price,USO-HK_ratio,USO-HK_price
SZ160719,,2.123,6.888,6.8854,0.97,,,"{'GLD': {'ratio': '57.000000', 'price': '429.41'}, '^GLD-EU': {'ratio': '43.000000', 'price': '429.195'}}",,57.0,429.41,43.0,429.195,,,,,,,,,,,,
SZ161116,,1.7572,6.888,6.8854,0.93,,,"{'GLD': {'ratio': '87.000000', 'price': '429.41'}, '^GLD-EU': {'ratio': '13.000000', 'price': '429.195'}}",,87.0,429.41,13.0,429.195,,,,,,,,,,,,
SZ164701,,1.867,6.888,6.8854,0.98,,,"{'GLD': {'ratio': '99.000000', 'price': '429.41'}, 'SLV': {'ratio': '1.000000', 'price': '65.79'}}",,99.0,429.41,,,1.0,65.79,,,,,,,,,,
SZ165513,,1.1231,6.888,6.8854,0.89,,,"{'GLD': {'ratio': '86.000000', 'price': '429.41'}, '^GLD-EU': {'ratio': '11.000000', 'price': '429.195'}, '^GLD-JP': {'ratio': '3.000000', 'price': '421.16'}}",,86.0,429.41,11.0,429.195,,,3.0,421.16,,,,,,,,
SH501018,,1.8269,6.888,6.8854,0.6,,,"{'^USO-EU': {'ratio': '47.000000', 'price': '136.06'}, 'USO': {'ratio': '29.000000', 'price': '137.92'}, '^USO-JP': {'ratio': '24.000000', 'price': '132.6'}}",,,,,,,,,,47.0,136.06,29.0,137.92,24.0,132.6,,
SZ160723,,2.0571,6.888,6.8854,0.47,,,"{'USO': {'ratio': '34.000000', 'price': '137.92'}, '^USO-EU': {'ratio': '34.000000', 'price': '136.06'}, '^USO-JP': {'ratio': '32.000000', 'price': '132.6'}}",,,,,,,,,,34.0,136.06,34.0,137.92,32.0,132.6,,
SZ161129,,1.7102,6.888,6.8854,0.56,,,"{'^USO-EU': {'ratio': '40.000000', 'price': '136.06'}, '^USO-JP': {'ratio': '35.000000', 'price': '132.6'}, 'USO': {'ratio': '19.000000', 'price': '137.92'}, '^USO-HK': {'ratio': '6.000000', 'price': '133.27'}}",,,,,,,,,,40.0,136.06,19.0,137.92,35.0,132.6,6.0,133.27
SZ162411,,0.9514,,6.8854,0.95,1286.870785,1354.600826,XOP,,,,,,,,,,,,,,,,,
SZ161127,,1.7599,,6.8854,0.94,505.047471,537.284544,XBI,,,,,,,,,,,,,,,,,
SPY,,655.856384,,,1.0,10.036786,,^GSPC,,,,,,,,,,,,,,,,,
SZ161125,,2.7648,,6.8854,0.96,16399.583345,1702.028848,SPY,,,,,,,,,,,,,,,,,
QQQ,,584.953889,,,1.0,41.106714,,^NDX,,,,,,,,,,,,,,,,,
SZ161130,,3.706,,6.8854,0.95,44691.210786,1144.42083,QQQ,,,,,,,,,,,,,,,,,
