symbol,type,netvalue,CNYholdings,CNY,position,calibration,hedge,hedge_ETF,USO-EU_ratio,USO-EU_price,etf_mapping,USO_ratio,USO_price,USO-JP_ratio,USO-JP_price,symbol_hedge,USO-HK_ratio,USO-HK_price,GLD_ratio,GLD_price,GLD-EU_ratio,GLD-EU_price,SLV_ratio,SLV_price,GLD-JP_ratio,GLD-JP_price
SH501018,,1.6823,6.868,6.8654,0.68,,,,47.000000,123.19,"{'USO-EU': '^USO-EU', 'USO': 'USO', 'USO-JP': '^USO-JP'}",29.000000,124.58,24.000000,115.63,"{'^USO-EU': {'ratio': '47.000000', 'price': '123.19'}, 'USO': {'ratio': '29.000000', 'price': '124.58'}, '^USO-JP': {'ratio': '24.000000', 'price': '115.63'}}",,,,,,,,,,
SZ160723,,1.9359,6.868,6.8654,0.76,,,,49.000000,123.19,"{'USO-EU': '^USO-EU', 'USO': 'USO', 'USO-JP': '^USO-JP'}",42.000000,124.58,9.000000,115.63,"{'^USO-EU': {'ratio': '49.000000', 'price': '123.19'}, 'USO': {'ratio': '42.000000', 'price': '124.58'}, '^USO-JP': {'ratio': '9.000000', 'price': '115.63'}}",,,,,,,,,,
SZ161129,,1.6005,6.868,6.8654,0.56,,,,40.000000,123.19,"{'USO-EU': '^USO-EU', 'USO-JP': '^USO-JP', 'USO': 'USO', 'USO-HK': '^USO-HK'}",19.000000,124.58,35.000000,115.63,"{'^USO-EU': {'ratio': '40.000000', 'price': '123.19'}, '^USO-JP': {'ratio': '35.000000', 'price': '115.63'}, 'USO': {'ratio': '19.000000', 'price': '124.58'}, '^USO-HK': {'ratio': '6.000000', 'price': '116.97'}}",6.000000,116.97,,,,,,,,
SZ160719,,2.146,6.868,6.8654,0.95,,,,,,"{'GLD': 'GLD', 'GLD-EU': '^GLD-EU'}",,,,,"{'GLD': {'ratio': '57.000000', 'price': '434.53'}, '^GLD-EU': {'ratio': '43.000000', 'price': '436.38'}}",,,57.000000,434.53,43.000000,436.38,,,,
SZ161116,,1.7745,6.868,6.8654,0.93,,,,,,"{'GLD': 'GLD', 'GLD-EU': '^GLD-EU'}",,,,,"{'GLD': {'ratio': '87.000000', 'price': '434.53'}, '^GLD-EU': {'ratio': '13.000000', 'price': '436.38'}}",,,87.000000,434.53,13.000000,436.38,,,,
SZ164701,,1.884,6.868,6.8654,0.98,,,,,,"{'GLD': 'GLD', 'SLV': 'SLV'}",,,,,"{'GLD': {'ratio': '99.000000', 'price': '434.53'}, 'SLV': {'ratio': '1.000000', 'price': '67.47'}}",,,99.000000,434.53,,,1.000000,67.47,,
SZ165513,,1.1331,6.868,6.8654,0.89,,,,,,"{'GLD': 'GLD', 'GLD-EU': '^GLD-EU', 'GLD-JP': '^GLD-JP'}",,,,,"{'GLD': {'ratio': '86.000000', 'price': '434.53'}, '^GLD-EU': {'ratio': '11.000000', 'price': '436.38'}, '^GLD-JP': {'ratio': '3.000000', 'price': '444.41'}}",,,86.000000,434.53,11.000000,436.38,,,3.000000,444.41
SZ162411,,0.8972,,6.8654,0.95,1283.450938,1351.000987,,,,,,,,,XOP,,,,,,,,,,
SZ161127,,1.7748,,6.8654,0.95,505.313069,531.908494,,,,,,,,,XBI,,,,,,,,,,
SPY,,675.837585,,,1,10.036154,,,,,,,,,,^GSPC,,,,,,,,,,
SZ161125,,2.8374,,6.8654,0.95,16417.967071,1721.981409,,,,,,,,,SPY,,,,,,,,,,
QQQ,,605.80148,,,1,41.1078,,,,,,,,,,^NDX,,,,,,,,,,
SZ161130,,3.8212,,6.8654,0.95,44759.484822,1146.138864,,,,,,,,,QQQ,,,,,,,,,,
