symbol,type,CNY,position,date,netvalue,CNYholdings,calibration,hedge,symbol_hedge,hedge_ETF,GLD_price,GLD_ratio,^GLD-JP_price,^GLD-JP_ratio,^GLD-EU_price,^GLD-EU_ratio,USO_price,USO_ratio,^USO-JP_price,^USO-JP_ratio,^USO-HK_price,^USO-HK_ratio,^USO-EU_price,^USO-EU_ratio
SH501018,商品,6.8657,0.68,2026-04-09,1.7215,6.8649,,,,,,,,,,,126.96,29,125.86,24,,,128.54,47
SZ160723,商品,6.8657,0.77,2026-04-09,1.9658,6.8649,,,,,,,,,,,126.96,48,125.86,13,,,128.54,39
SZ161129,商品,6.8657,0.56,2026-04-09,1.6279,6.8649,,,,,,,,,,,126.96,19,125.86,35,125.25,6,128.54,40
SZ160719,商品,6.8657,0.95,2026-04-09,2.159,6.8649,,,,,437.91,57,,,438.95,43,,,,,,,,
SZ161116,商品,6.8657,0.93,2026-04-09,1.7866,6.8649,,,,,437.91,87,,,438.95,13,,,,,,,,
SZ164701,商品,6.8657,0.98,2026-04-09,1.897,6.8649,,,,,437.91,99,,,,,,,,,,,,
SZ165513,商品,6.8657,0.89,2026-04-09,1.1399,6.8649,,,,,437.91,86,433.59,3,438.95,11,,,,,,,,
SZ162411,纯ETF,6.8657,0.95,2026-04-09,0.8972,,1283.450938,1351.000987,XOP,,,,,,,,,,,,,,,
SZ161127,纯ETF,6.8657,0.95,2026-04-09,1.7905,,505.568726,532.177606,XBI,,,,,,,,,,,,,,,
SPY,,,1,2026-04-09,680.044617,,10.035607,,^GSPC,,,,,,,,,,,,,,,
SZ161125,指数,6.8657,0.95,2026-04-09,2.8529,,16422.100251,1722.508795,SPY,,,,,,,,,,,,,,,
QQQ,,,1,2026-04-09,610.162759,,41.107207,,^NDX,,,,,,,,,,,,,,,
SZ161130,指数,6.8657,0.95,2026-04-09,3.8454,,44777.140379,1146.607503,QQQ,,,,,,,,,,,,,,,
