symbol,type,CNY,position,date,netvalue,CNYholdings,calibration,hedge,symbol_hedge,GLD_price,GLD_ratio,^GLD-JP_price,^GLD-JP_ratio,^GLD-EU_price,^GLD-EU_ratio,USO_price,USO_ratio,^USO-JP_price,^USO-JP_ratio,^USO-HK_price,^USO-HK_ratio,^USO-EU_price,^USO-EU_ratio
SH501018,商品,6.8582,0.68,2026-04-14,1.7109,6.8593,,,,,,,,,,123.85,29,125.98,24,,,125.24,47
SZ160723,商品,6.8582,0.77,2026-04-13,2.0176,6.8657,,,,,,,,,,128.47,43,132.82,7,,,132.81,50
SZ161129,商品,6.8582,0.56,2026-04-14,1.6253,6.8593,,,,,,,,,,123.85,19,125.98,35,124.78,6,125.24,40
SZ160216,商品,6.8582,0.67,2026-04-14,0.753,6.8593,,,,445.09,63,,,,,123.85,37,,,,,,
SZ161815,商品,6.8582,0.73,2026-04-14,1.185,6.8593,,,,445.09,75,,,,,123.85,15,,,,,125.24,10
SZ160719,商品,6.8582,0.95,2026-04-14,2.18,6.8593,,,,445.09,57,,,441.6,43,,,,,,,,
SZ161116,商品,6.8582,0.93,2026-04-14,1.8079,6.8593,,,,445.09,87,,,441.6,13,,,,,,,,
SZ164701,商品,6.8582,0.98,2026-04-14,1.926,6.8593,,,,445.09,99,,,,,,,,,,,,
SZ165513,商品,6.8582,0.89,2026-04-14,1.1547,6.8593,,,,445.09,86,437.72,3,441.6,11,,,,,,,,
SH513350,纯ETF,,1,2026-04-14,1.1682,,959.647895,959.647895,XOP,,,,,,,,,,,,,,
SZ159518,纯ETF,,1,2026-04-14,1.1136,,1006.699596,1006.699596,XOP,,,,,,,,,,,,,,
SZ162411,纯ETF,6.8582,0.95,2026-04-14,0.8745,,1281.944735,1349.415511,XOP,,,,,,,,,,,,,,
SZ162415,纯ETF,6.8582,0.94,2026-04-14,2.897,,275.660990,293.256372,XLY,,,,,,,,,,,,,,
SZ159502,纯ETF,,1,2026-04-14,1.3756,,677.040724,677.040724,XBI,,,,,,,,,,,,,,
SZ161127,纯ETF,6.8582,0.95,2026-04-14,1.8392,,506.381699,533.033367,XBI,,,,,,,,,,,,,,
SPY,,,1,2026-04-14,694.339172,,10.034548,,^GSPC,,,,,,,,,,,,,,
SZ161125,指数,6.8582,0.95,2026-04-14,2.9075,,16437.265330,1724.281408,SPY,,,,,,,,,,,,,,
QQQ,,,1,2026-04-13,617.489422,,41.107937,,^NDX,,,,,,,,,,,,,,
SZ161130,指数,6.8582,0.95,2026-04-14,3.9524,,44848.194129,1147.411747,QQQ,,,,,,,,,,,,,,
