组别,LOF基金代码,LOF基金名称,ETF基金代码,ETF基金名称,跟踪指数,默认仓位
1,162411,华宝油气,513350,富国标普石油,标普石油天然气上证指数,0.95
1,162411,华宝油气,159518,嘉实标普石油,标普石油天然气上证指数,0.95
2,161130,易方达纳100,513100,易方达纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,513110,易方达纳指ETF增强,纳斯达克100指数,1.0
2,161130,易方达纳100,513390,国泰纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,513870,华宝纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159501,华安纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159513,华夏纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159632,易方达纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159659,国泰纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159660,广发纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159696,易方达纳指ETF,纳斯达克100指数,1.0
2,161130,易方达纳100,159941,华夏纳指ETF,纳斯达克100指数,0.99
